,species,island,stage,date_egg,body_mass,sex,penguin_id
313,Gentoo,Biscoe,"Adult,2 Eggs",2009-12-01,5650.0,MALE,N18A2
314,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-27,4850.0,FEMALE,N19A1
315,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-27,5200.0,MALE,N19A2
316,Gentoo,Biscoe,"Adult,1 Eggs",2009-11-18,4925.0,MALE,N20A1
317,Gentoo,Biscoe,"Adult,1 Eggs",2009-11-18,4875.0,FEMALE,N20A2
318,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-18,4625.0,FEMALE,N21A1
319,Gentoo,Biscoe,"Adult,1 Eggs",2009-11-18,5250.0,MALE,N21A2
320,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-22,4850.0,FEMALE,N22A1
321,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-22,5600.0,MALE,N22A2
322,Gentoo,Biscoe,"Adult,1 Eggs",2009-11-18,4975.0,FEMALE,N23A1
323,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-18,5500.0,MALE,N23A2
325,Gentoo,Biscoe,"Adult,2 Eggs",2009-12-01,5500.0,MALE,N24A2
326,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-10,4700.0,FEMALE,N28A1
327,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-10,5500.0,MALE,N28A2
328,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-09,4575.0,FEMALE,N29A1
329,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-09,5500.0,MALE,N29A2
330,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-20,5000.0,FEMALE,N32A1
331,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-20,5950.0,MALE,N32A2
332,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-27,4650.0,FEMALE,N34A1
333,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-27,5500.0,MALE,N34A2
334,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-25,4375.0,FEMALE,N35A1
335,Gentoo,Biscoe,"Adult,3 Eggs",2009-11-25,5850.0,MALE,N35A2
336,Gentoo,Biscoe,"Adult,2 Eggs",2009-12-01,4875.0,FEMALE,N36A1
337,Gentoo,Biscoe,"Adult,1 Eggs",2009-12-01,6000.0,MALE,N36A2
338,Gentoo,Biscoe,"Adult,2 Eggs",2009-12-01,4925.0,FEMALE,N38A1
340,Gentoo,Biscoe,"Adult,1 Eggs",2009-11-22,4850.0,FEMALE,N39A1
341,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-22,5750.0,MALE,N39A2
342,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-22,5200.0,FEMALE,N43A1
343,Gentoo,Biscoe,"Adult,2 Eggs",2009-11-22,5400.0,MALE,N43A2
