,species,island,stage,date_egg,body_mass,sex,penguin_id
94,Adelie,Dream,"Adult,2 Eggs",2008-11-17,3300.0,FEMALE,N48A1
95,Adelie,Dream,"Adult,2 Eggs",2008-11-17,4300.0,MALE,N48A2
96,Adelie,Dream,"Adult,2 Eggs",2008-11-08,3700.0,FEMALE,N49A1
97,Adelie,Dream,"Adult,2 Eggs",2008-11-08,4350.0,MALE,N49A2
98,Adelie,Dream,"Adult,2 Eggs",2008-11-10,2900.0,FEMALE,N50A1
99,Adelie,Dream,"Adult,1 Eggs",2008-11-10,4100.0,MALE,N50A2
178,Chinstrap,Dream,"Adult,2 Eggs",2008-11-25,3400.0,FEMALE,N61A1
179,Chinstrap,Dream,"Adult,2 Eggs",2008-11-25,3800.0,MALE,N61A2
180,Chinstrap,Dream,"Adult,2 Eggs",2008-11-14,3700.0,FEMALE,N62A1
181,Chinstrap,Dream,"Adult,1 Eggs",2008-11-14,4550.0,MALE,N62A2
182,Chinstrap,Dream,"Adult,2 Eggs",2008-11-24,3200.0,FEMALE,N63A1
183,Chinstrap,Dream,"Adult,1 Eggs",2008-11-24,4300.0,MALE,N63A2
184,Chinstrap,Dream,"Adult,2 Eggs",2008-11-24,3350.0,FEMALE,N65A1
185,Chinstrap,Dream,"Adult,1 Eggs",2008-11-24,4100.0,MALE,N65A2
186,Chinstrap,Dream,"Adult,2 Eggs",2008-11-25,3600.0,MALE,N67A1
187,Chinstrap,Dream,"Adult,1 Eggs",2008-11-25,3900.0,FEMALE,N67A2
188,Chinstrap,Dream,"Adult,2 Eggs",2008-11-14,3850.0,FEMALE,N69A1
189,Chinstrap,Dream,"Adult,1 Eggs",2008-11-14,4800.0,MALE,N69A2
190,Chinstrap,Dream,"Adult,1 Eggs",2008-11-24,2700.0,FEMALE,N72A1
191,Chinstrap,Dream,"Adult,2 Eggs",2008-11-24,4500.0,MALE,N72A2
192,Chinstrap,Dream,"Adult,2 Eggs",2008-11-24,3950.0,MALE,N74A1
193,Chinstrap,Dream,"Adult,2 Eggs",2008-11-24,3650.0,FEMALE,N74A2
194,Chinstrap,Dream,"Adult,2 Eggs",2008-11-14,3550.0,MALE,N75A1
195,Chinstrap,Dream,"Adult,2 Eggs",2008-11-14,3500.0,FEMALE,N75A2
254,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-13,5150.0,FEMALE,N2A1
255,Gentoo,Biscoe,"Adult,1 Eggs",2008-11-13,5400.0,MALE,N2A2
256,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-02,4950.0,FEMALE,N4A1
257,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-02,5250.0,MALE,N4A2
258,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-09,4350.0,FEMALE,N5A1
259,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-09,5350.0,MALE,N5A2
260,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-04,3950.0,FEMALE,N6A1
261,Gentoo,Biscoe,"Adult,1 Eggs",2008-11-04,5700.0,MALE,N6A2
262,Gentoo,Biscoe,"Adult,1 Eggs",2008-11-04,4300.0,FEMALE,N7A1
263,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-04,4750.0,MALE,N7A2
264,Gentoo,Biscoe,"Adult,1 Eggs",2008-11-03,5550.0,MALE,N8A1
265,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-03,4900.0,FEMALE,N8A2
266,Gentoo,Biscoe,"Adult,3 Eggs",2008-11-09,4200.0,FEMALE,N11A1
267,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-09,5400.0,MALE,N11A2
268,Gentoo,Biscoe,"Adult,1 Eggs",2008-11-02,5100.0,FEMALE,N12A1
269,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-02,5300.0,MALE,N12A2
270,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-04,4850.0,FEMALE,N13A1
271,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-04,5300.0,MALE,N13A2
272,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-04,4400.0,FEMALE,N14A1
273,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-04,5000.0,MALE,N14A2
274,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-04,4900.0,FEMALE,N15A1
275,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-04,5050.0,MALE,N15A2
276,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-03,4300.0,FEMALE,N16A1
277,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-03,5000.0,MALE,N16A2
278,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-06,4450.0,FEMALE,N17A1
279,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-06,5550.0,MALE,N17A2
280,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-03,4200.0,FEMALE,N18A1
281,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-03,5300.0,MALE,N18A2
282,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-13,4400.0,FEMALE,N19A1
283,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-13,5650.0,MALE,N19A2
284,Gentoo,Biscoe,"Adult,1 Eggs",2008-11-04,4700.0,FEMALE,N20A1
285,Gentoo,Biscoe,"Adult,1 Eggs",2008-11-04,5700.0,MALE,N20A2
287,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-09,5800.0,MALE,N51A2
288,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-13,4700.0,FEMALE,N53A1
289,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-13,5550.0,MALE,N53A2
290,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-03,4750.0,FEMALE,N54A1
291,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-03,5000.0,MALE,N54A2
292,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-09,5100.0,MALE,N55A1
293,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-09,5200.0,FEMALE,N55A2
294,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-06,4700.0,FEMALE,N56A1
295,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-06,5800.0,MALE,N56A2
296,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-06,4600.0,FEMALE,N58A1
297,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-06,6000.0,MALE,N58A2
298,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-09,4750.0,FEMALE,N60A1
299,Gentoo,Biscoe,"Adult,2 Eggs",2008-11-09,5950.0,MALE,N60A2
